Datum;BundeslandID;Name;TestungenApotheken;TestungenApothekenPCR;TestungenApothekenAntigen;TestungenBetriebe
2021-05-04;4;Oberösterreich;389157;;389157;345076
2021-05-04;5;Salzburg;279681;;279681;117509
2021-05-04;6;Steiermark;609125;;609125;436352
2021-05-04;7;Tirol;354689;;354689;77804
2021-05-04;8;Vorarlberg;258493;;258493;69009
2021-05-04;9;Wien;1109179;;1109179;374751
2021-05-04;10;Österreich;3905841;;3905841;2158128
2021-05-05;1;Burgenland;269500;;269500;83604
2021-05-05;2;Kärnten;203816;;203816;91771
2021-05-05;3;Niederösterreich;454165;;454165;576536
2021-05-05;4;Oberösterreich;398888;;398888;352810
2021-05-05;5;Salzburg;286259;;286259;119865
2021-05-05;6;Steiermark;623486;;623486;446360
2021-05-05;7;Tirol;361561;;361561;78974
2021-05-05;8;Vorarlberg;267544;;267544;70541
2021-05-05;9;Wien;1144016;;1144016;382611
2021-05-05;10;Österreich;4009235;;4009235;2203072
2021-05-06;1;Burgenland;275099;;275099;92866
2021-05-06;2;Kärnten;208881;;208881;94115
2021-05-06;3;Niederösterreich;466379;;466379;591745
2021-05-06;4;Oberösterreich;408886;;408886;361179
2021-05-06;5;Salzburg;293810;;293810;123150
2021-05-06;6;Steiermark;639080;;639080;459345
2021-05-06;7;Tirol;368419;;368419;80881
2021-05-06;8;Vorarlberg;276191;;276191;73657
2021-05-06;9;Wien;1178646;;1178646;399861
2021-05-06;10;Österreich;4115391;;4115391;2276799
2021-05-07;1;Burgenland;281712;;281712;204701
2021-05-07;2;Kärnten;213934;;213934;98205
2021-05-07;3;Niederösterreich;477923;;477923;621795
2021-05-07;4;Oberösterreich;419116;;419116;380869
2021-05-07;5;Salzburg;300721;;300721;129383
2021-05-07;6;Steiermark;654725;;654725;487370
2021-05-07;7;Tirol;375090;;375090;90011
2021-05-07;8;Vorarlberg;285572;;285572;75489
2021-05-07;9;Wien;1213844;;1213844;438707
2021-05-07;10;Österreich;4222637;;4222637;2526530
2021-05-08;1;Burgenland;289952;;289952;206802
2021-05-08;2;Kärnten;220870;;220870;100389
2021-05-08;3;Niederösterreich;494707;;494707;632126
2021-05-08;4;Oberösterreich;431206;;431206;387487
2021-05-08;5;Salzburg;309711;;309711;131118
2021-05-08;6;Steiermark;673917;;673917;495786
2021-05-08;7;Tirol;385866;;385866;92500
2021-05-08;8;Vorarlberg;303182;;303182;78013
2021-05-08;9;Wien;1253281;;1253281;445937
2021-05-08;10;Österreich;4362692;;4362692;2570158
2021-05-09;1;Burgenland;290229;;290229;207332
2021-05-09;2;Kärnten;221714;;221714;100421
2021-05-09;3;Niederösterreich;496317;;496317;634594
2021-05-09;4;Oberösterreich;432004;;432004;387802
2021-05-09;5;Salzburg;311348;;311348;131274
2021-05-09;6;Steiermark;675251;;675251;496548
2021-05-09;7;Tirol;386361;;386361;92572
2021-05-09;8;Vorarlberg;314813;;314813;78266
2021-05-09;9;Wien;1258668;;1258668;446201
2021-05-09;10;Österreich;4386705;;4386705;2575010
2021-05-10;1;Burgenland;290527;;290527;207887
2021-05-10;2;Kärnten;221979;;221979;100845
2021-05-10;3;Niederösterreich;497368;;497368;638464
2021-05-10;4;Oberösterreich;432351;;432351;389838
2021-05-10;5;Salzburg;311710;;311710;131754
2021-05-10;6;Steiermark;676374;;676374;499620
2021-05-10;7;Tirol;386691;;386691;92977
2021-05-10;8;Vorarlberg;321439;;321439;78697
2021-05-10;9;Wien;1259393;;1259393;447038
2021-05-10;10;Österreich;4397832;;4397832;2587120
2021-05-11;1;Burgenland;298894;;298894;211419
2021-05-11;2;Kärnten;228326;;228326;103831
2021-05-11;3;Niederösterreich;513111;;513111;654236
2021-05-11;4;Oberösterreich;445228;;445228;402277
2021-05-11;5;Salzburg;320541;;320541;136206
2021-05-11;6;Steiermark;695818;;695818;513765
2021-05-11;7;Tirol;394480;;394480;94327
2021-05-11;8;Vorarlberg;331799;;331799;80747
2021-05-11;9;Wien;1301867;;1301867;459443
2021-05-11;10;Österreich;4530064;;4530064;2656251
2021-05-12;1;Burgenland;303944;;303944;213454
2021-05-12;2;Kärnten;233384;;233384;105831
2021-05-12;3;Niederösterreich;524503;;524503;665057
2021-05-12;4;Oberösterreich;454925;;454925;410284
2021-05-12;5;Salzburg;327123;;327123;139946
2021-05-12;6;Steiermark;710651;;710651;543495
2021-05-12;7;Tirol;400817;;400817;96062
2021-05-12;8;Vorarlberg;339328;;339328;82573
2021-05-12;9;Wien;1335613;;1335613;471187
2021-05-12;10;Österreich;4630288;;4630288;2727889
2021-05-13;1;Burgenland;310325;;310325;220276
2021-05-13;2;Kärnten;239092;;239092;108537
2021-05-13;3;Niederösterreich;536482;;536482;677896
2021-05-13;4;Oberösterreich;465322;;465322;420177
2021-05-13;5;Salzburg;334990;;334990;145581
2021-05-13;6;Steiermark;727364;;727364;557631
2021-05-13;7;Tirol;408462;;408462;97521
2021-05-13;8;Vorarlberg;349732;;349732;89628
2021-05-13;9;Wien;1369679;;1369679;483964
2021-05-13;10;Österreich;4741448;;4741448;2801211
2021-05-14;1;Burgenland;310572;;310572;220706
2021-05-14;2;Kärnten;239324;;239324;108731
2021-05-14;3;Niederösterreich;537267;;537267;679471
2021-05-14;4;Oberösterreich;465555;;465555;421003
2021-05-14;5;Salzburg;335384;;335384;145792
