Stamp,Status,Region,Count
2020-03-25 08:00:00,Confirmed,Wien_19_Döbling,41
2020-03-25 08:00:00,Confirmed,Wien_20_Brigittenau,17
2020-03-25 08:00:00,Confirmed,Wien_21_Floridsdorf,49
2020-03-25 08:00:00,Confirmed,Wien_22_Donaustadt,54
2020-03-25 08:00:00,Confirmed,Wien_23_Liesing,27
2020-03-25 08:00:00,Confirmed,Wiener_Neustadt_Land,9
2020-03-25 08:00:00,Confirmed,Wiener_Neustadt_Stadt,13
2020-03-25 08:00:00,Confirmed,Wolfsberg,14
2020-03-25 08:00:00,Confirmed,Zell_am_See,127
2020-03-25 08:00:00,Confirmed,Zwettl,5
2020-03-24 15:00:00,Confirmed,Amstetten,93
2020-03-24 15:00:00,Confirmed,Baden,35
2020-03-24 15:00:00,Confirmed,Bludenz,106
2020-03-24 15:00:00,Confirmed,Braunau_am_Inn,13
2020-03-24 15:00:00,Confirmed,Bregenz,91
2020-03-24 15:00:00,Confirmed,Bruck_an_der_Leitha,18
2020-03-24 15:00:00,Confirmed,Bruck-Mürzzuschlag,17
2020-03-24 15:00:00,Confirmed,Deutschlandsberg,9
2020-03-24 15:00:00,Confirmed,Dornbirn,54
2020-03-24 15:00:00,Confirmed,Eferding,10
2020-03-24 15:00:00,Confirmed,Eisenstadt_Stadt,6
2020-03-24 15:00:00,Confirmed,Eisenstadt-Umgebung,7
2020-03-24 15:00:00,Confirmed,Feldkirch,118
2020-03-24 15:00:00,Confirmed,Feldkirchen,4
2020-03-24 15:00:00,Confirmed,Freistadt,46
2020-03-24 15:00:00,Confirmed,Gänserndorf,19
2020-03-24 15:00:00,Confirmed,Gmünd,2
2020-03-24 15:00:00,Confirmed,Gmunden,25
2020-03-24 15:00:00,Confirmed,Graz_Stadt,136
2020-03-24 15:00:00,Confirmed,Graz-Umgebung,56
2020-03-24 15:00:00,Confirmed,Grieskirchen,14
2020-03-24 15:00:00,Confirmed,Gröbming,19
2020-03-24 15:00:00,Confirmed,Hallein,25
2020-03-24 15:00:00,Confirmed,Hartberg-Fürstenfeld,90
2020-03-24 15:00:00,Confirmed,Hermagor,3
2020-03-24 15:00:00,Confirmed,Hollabrunn,2
2020-03-24 15:00:00,Confirmed,Imst,93
2020-03-24 15:00:00,Confirmed,Innsbruck-Land,158
2020-03-24 15:00:00,Confirmed,Innsbruck-Stadt,241
2020-03-24 15:00:00,Confirmed,Jennersdorf,4
