country,state,county,cases,deaths,recovered,tested,tests,public_tests,private_tests,hospitalized,presumed_cases,monitoring,Attribution,AttributionURL,publication_date,scrape_date,source_links
Austria,ALL,Horn,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Imst,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Innsbruck-Land,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Innsbruck-Stadt,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Jennersdorf,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Kirchdorf_an_der_Krems,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Kitzbühel,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Klagenfurt_Land,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Klagenfurt_Stadt,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Korneuburg,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Krems_an_der_Donau_Stadt,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Krems_Land,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Kufstein,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Landeck,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Leibnitz,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Leoben,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Lienz,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Liezen,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Lilienfeld,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Linz_Stadt,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Linz-Land,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Mattersburg,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Melk,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Mistelbach,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Mödling,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Murau,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
