Datum;BundeslandID;Name;TestungenApotheken;TestungenApothekenPCR;TestungenApothekenAntigen;TestungenBetriebe
26.02.2021;3;Niederösterreich;6293;0;6293;29609
26.02.2021;4;Oberösterreich;5845;0;5845;21766
26.02.2021;5;Salzburg;3619;0;3619;7829
26.02.2021;6;Steiermark;8282;0;8282;26859
26.02.2021;7;Tirol;4865;0;4865;7312
26.02.2021;8;Vorarlberg;2029;0;2029;3289
26.02.2021;9;Wien;12649;0;12649;19218
26.02.2021;10;Österreich;47872;0;47872;125593
27.02.2021;1;Burgenland;3512;0;3512;3348
27.02.2021;2;Kärnten;1410;0;1410;7054
27.02.2021;3;Niederösterreich;6919;0;6919;30254
27.02.2021;4;Oberösterreich;6705;0;6705;21976
27.02.2021;5;Salzburg;4166;0;4166;7844
27.02.2021;6;Steiermark;9233;0;9233;27110
27.02.2021;7;Tirol;5658;0;5658;7392
27.02.2021;8;Vorarlberg;2303;0;2303;3303
27.02.2021;9;Wien;14585;0;14585;19428
27.02.2021;10;Österreich;54491;0;54491;127709
28.02.2021;1;Burgenland;3519;0;3519;3348
28.02.2021;2;Kärnten;1410;0;1410;7066
28.02.2021;3;Niederösterreich;6934;0;6934;30820
28.02.2021;4;Oberösterreich;6732;0;6732;22086
28.02.2021;5;Salzburg;4172;0;4172;7862
28.02.2021;6;Steiermark;9294;0;9294;27285
28.02.2021;7;Tirol;5687;0;5687;7661
28.02.2021;8;Vorarlberg;2306;0;2306;3304
28.02.2021;9;Wien;14612;0;14612;19538
28.02.2021;10;Österreich;54666;0;54666;128970
01.03.2021;1;Burgenland;5951;0;5951;4153
01.03.2021;2;Kärnten;2656;0;2656;8386
01.03.2021;3;Niederösterreich;11411;0;11411;37771
01.03.2021;4;Oberösterreich;10828;0;10828;27508
01.03.2021;5;Salzburg;7038;0;7038;10249
01.03.2021;6;Steiermark;15579;0;15579;33851
01.03.2021;7;Tirol;8767;0;8767;8566
01.03.2021;8;Vorarlberg;3561;0;3561;3849
01.03.2021;9;Wien;23772;0;23772;25815
01.03.2021;10;Österreich;89563;0;89563;160148
02.03.2021;1;Burgenland;8491;0;8491;4553
02.03.2021;2;Kärnten;3755;0;3755;9453
02.03.2021;3;Niederösterreich;15401;0;15401;41838
02.03.2021;4;Oberösterreich;14886;0;14886;30815
02.03.2021;5;Salzburg;9525;0;9525;11242
02.03.2021;6;Steiermark;21400;0;21400;37587
02.03.2021;7;Tirol;11456;0;11456;9172
02.03.2021;8;Vorarlberg;4590;0;4590;4452
02.03.2021;9;Wien;32850;0;32850;29966
02.03.2021;10;Österreich;122354;0;122354;179078
03.03.2021;1;Burgenland;10929;0;10929;4846
03.03.2021;2;Kärnten;5396;0;5396;10717
03.03.2021;3;Niederösterreich;19325;0;19325;46883
03.03.2021;4;Oberösterreich;19393;0;19393;33887
03.03.2021;5;Salzburg;12343;0;12343;12944
03.03.2021;6;Steiermark;27806;0;27806;42561
03.03.2021;7;Tirol;14647;0;14647;9932
03.03.2021;8;Vorarlberg;5835;0;5835;4809
03.03.2021;9;Wien;43251;0;43251;34562
03.03.2021;10;Österreich;158925;0;158925;201141
04.03.2021;1;Burgenland;14054;0;14054;5422
04.03.2021;2;Kärnten;7464;0;7464;11736
04.03.2021;3;Niederösterreich;24020;0;24020;51786
04.03.2021;4;Oberösterreich;24309;0;24309;38575
04.03.2021;5;Salzburg;15701;0;15701;14423
04.03.2021;6;Steiermark;35245;0;35245;47939
04.03.2021;7;Tirol;18153;0;18153;10781
04.03.2021;8;Vorarlberg;7007;0;7007;5367
04.03.2021;9;Wien;55327;0;55327;38917
04.03.2021;10;Österreich;201280;0;201280;224946
05.03.2021;1;Burgenland;17334;0;17334;6054
05.03.2021;2;Kärnten;9539;0;9539;12585
05.03.2021;3;Niederösterreich;29039;0;29039;55374
05.03.2021;4;Oberösterreich;29231;0;29231;41468
05.03.2021;5;Salzburg;19299;0;19299;15234
05.03.2021;6;Steiermark;43591;0;43591;51680
05.03.2021;7;Tirol;24750;0;24750;11803
05.03.2021;8;Vorarlberg;8670;0;8670;5744
05.03.2021;9;Wien;69454;0;69454;41726
05.03.2021;10;Österreich;250907;0;250907;241668
06.03.2021;1;Burgenland;18628;0;18628;6073
06.03.2021;2;Kärnten;10161;0;10161;12605
06.03.2021;3;Niederösterreich;30275;0;30275;56479
06.03.2021;4;Oberösterreich;30532;0;30532;41599
06.03.2021;5;Salzburg;20822;0;20822;15280
06.03.2021;6;Steiermark;45520;0;45520;51904
06.03.2021;7;Tirol;26710;0;26710;12003
06.03.2021;8;Vorarlberg;9029;0;9029;5752
06.03.2021;9;Wien;73749;0;73749;41946
06.03.2021;10;Österreich;265426;0;265426;243641
07.03.2021;1;Burgenland;18655;0;18655;6086
07.03.2021;2;Kärnten;10269;0;10269;12610
07.03.2021;3;Niederösterreich;30308;0;30308;57008
07.03.2021;4;Oberösterreich;30612;0;30612;41712
07.03.2021;5;Salzburg;20842;0;20842;15322
07.03.2021;6;Steiermark;45554;0;45554;52109
07.03.2021;7;Tirol;26767;0;26767;12200
07.03.2021;8;Vorarlberg;9032;0;9032;5754
07.03.2021;9;Wien;73768;0;73768;42004
07.03.2021;10;Österreich;265807;0;265807;244805
08.03.2021;1;Burgenland;22284;0;22284;7260
08.03.2021;2;Kärnten;13011;0;13011;14302
08.03.2021;3;Niederösterreich;36465;0;36465;66021
08.03.2021;4;Oberösterreich;36969;0;36969;49094
08.03.2021;5;Salzburg;25721;0;25721;18373
08.03.2021;6;Steiermark;55826;0;55826;60819
08.03.2021;7;Tirol;31480;0;31480;13289
08.03.2021;8;Vorarlberg;10822;0;10822;6417
08.03.2021;9;Wien;89986;0;89986;48803
08.03.2021;10;Österreich;322564;0;322564;284378
09.03.2021;1;Burgenland;25581;0;25581;8003
09.03.2021;2;Kärnten;16137;0;16137;15331
09.03.2021;3;Niederösterreich;42116;0;42116;71653
09.03.2021;4;Oberösterreich;42297;0;42297;53193
09.03.2021;5;Salzburg;29429;0;29429;19853
09.03.2021;6;Steiermark;64196;0;64196;65203
09.03.2021;7;Tirol;35504;0;35504;14186
09.03.2021;8;Vorarlberg;12375;0;12375;7005
09.03.2021;9;Wien;105038;0;105038;54491
09.03.2021;10;Österreich;372673;0;372673;308918
10.03.2021;1;Burgenland;28915;0;28915;8807
10.03.2021;2;Kärnten;18808;0;18808;16320
10.03.2021;3;Niederösterreich;47668;0;47668;78083
10.03.2021;4;Oberösterreich;47877;0;47877;56961
10.03.2021;5;Salzburg;33524;0;33524;21892
10.03.2021;6;Steiermark;73128;0;73128;71697
10.03.2021;7;Tirol;40858;0;40858;15646
10.03.2021;8;Vorarlberg;13779;0;13779;7562
10.03.2021;9;Wien;120273;0;120273;59305
10.03.2021;10;Österreich;424830;0;424830;336273
11.03.2021;1;Burgenland;32740;0;32740;9342
11.03.2021;2;Kärnten;18815;0;18815;17656
11.03.2021;3;Niederösterreich;53136;0;53136;84474
11.03.2021;4;Oberösterreich;53511;0;53511;62413
11.03.2021;5;Salzburg;37350;0;37350;23616
11.03.2021;6;Steiermark;81902;0;81902;77211
11.03.2021;7;Tirol;44620;0;44620;16726
11.03.2021;8;Vorarlberg;15264;0;15264;8254
11.03.2021;9;Wien;129881;0;129881;64245
11.03.2021;10;Österreich;467219;0;467219;363937
12.03.2021;1;Burgenland;37226;0;37226;10328
12.03.2021;2;Kärnten;24991;0;24991;18472
12.03.2021;3;Niederösterreich;61554;0;61554;90225
12.03.2021;4;Oberösterreich;59454;0;59454;65838
12.03.2021;5;Salzburg;41886;0;41886;24534
12.03.2021;6;Steiermark;93378;0;93378;81311
