Datum;BundeslandID;Bevölkerung;Name;EingetrageneImpfungen;EingetrageneImpfungenPro100;Teilgeimpfte;TeilgeimpftePro100;Vollimmunisierte;VollimmunisiertePro100;Gruppe_<15_M_1;Gruppe_<15_W_1;Gruppe_<15_D_1;Gruppe_15-24_M_1;Gruppe_15-24_W_1;Gruppe_15-24_D_1;Gruppe_25-34_M_1;Gruppe_25-34_W_1;Gruppe_25-34_D_1;Gruppe_35-44_M_1;Gruppe_35-44_W_1;Gruppe_35-44_D_1;Gruppe_45-54_M_1;Gruppe_45-54_W_1;Gruppe_45-54_D_1;Gruppe_55-64_M_1;Gruppe_55-64_W_1;Gruppe_55-64_D_1;Gruppe_65-74_M_1;Gruppe_65-74_W_1;Gruppe_65-74_D_1;Gruppe_75-84_M_1;Gruppe_75-84_W_1;Gruppe_75-84_D_1;Gruppe_>84_M_1;Gruppe_>84_W_1;Gruppe_>84_D_1;Gruppe_<15_M_2;Gruppe_<15_W_2;Gruppe_<15_D_2;Gruppe_15-24_M_2;Gruppe_15-24_W_2;Gruppe_15-24_D_2;Gruppe_25-34_M_2;Gruppe_25-34_W_2;Gruppe_25-34_D_2;Gruppe_35-44_M_2;Gruppe_35-44_W_2;Gruppe_35-44_D_2;Gruppe_45-54_M_2;Gruppe_45-54_W_2;Gruppe_45-54_D_2;Gruppe_55-64_M_2;Gruppe_55-64_W_2;Gruppe_55-64_D_2;Gruppe_65-74_M_2;Gruppe_65-74_W_2;Gruppe_65-74_D_2;Gruppe_75-84_M_2;Gruppe_75-84_W_2;Gruppe_75-84_D_2;Gruppe_>84_M_2;Gruppe_>84_W_2;Gruppe_>84_D_2;Gruppe_NichtZuordenbar;EingetrageneImpfungenBioNTechPfizer_1;EingetrageneImpfungenModerna_1;EingetrageneImpfungenAstraZeneca_1;EingetrageneImpfungenBioNTechPfizer_2;EingetrageneImpfungenModerna_2;EingetrageneImpfungenAstraZeneca_2;EingetrageneImpfungenJanssen;ImpfstoffNichtZugeordnet_1;ImpfstoffNichtZugeordnet_2
2021-10-25T23:59:59+02:00;1;296010;Burgenland;409772;138.4318097;215039;72.64585656;206974;69.92128644;2000;1937;0;10341;9691;0;11287;10657;0;13886;14325;0;17825;18193;0;21046;20966;0;16542;17230;0;9207;11209;0;2974;5723;0;1723;1626;0;9580;9079;0;10739;9991;0;13288;13672;0;17216;17544;0;20481;20397;0;16232;16910;0;9038;11002;0;2888;5568;0;0;154322;20499;27961;147705;19796;27199;12258;16;16
2021-10-25T23:59:59+02:00;2;562089;Kärnten;663964;118.124354;349909;62.25152956;331565;58.98798945;2134;1914;0;15300;14449;0;18351;17086;0;21462;21690;0;28001;29051;1;34533;35313;0;25999;28876;0;17660;22541;0;5373;10175;0;1800;1602;0;13801;13077;0;17035;15744;0;20240;20239;0;26516;27312;1;33045;33792;0;25312;28065;0;17199;21883;0;5194;9708;0;0;253017;32633;46665;238408;30624;44954;17542;84;37
2021-10-25T23:59:59+02:00;3;1690879;Niederösterreich;2206775;130.5105215;1154875;68.30027459;1102316;65.19189132;11350;10596;0;61628;57728;1;68099;63748;1;76742;77763;0;97879;99682;0;108874;107642;0;74537;80868;0;52310;64195;0;15135;26097;0;9757;9038;0;56598;53467;1;63969;59443;1;72798;73420;0;93727;95326;0;105134;104155;0;72858;78956;0;51154;62751;0;14655;25108;0;0;850152;71388;182838;806551;68773;176373;50521;81;98
2021-10-25T23:59:59+02:00;4;1495608;Oberösterreich;1723262;115.2215019;907435;60.67331814;858826;57.4232018;5981;5786;0;45158;43214;3;59191;51661;2;62908;59285;1;74418;72630;1;88498;86367;0;60903;65108;0;39802;51157;0;12631;22730;0;5072;4843;0;41292;39599;2;55335;47644;1;59504;55505;1;70522;68277;1;84678;82594;0;59009;62950;0;38599;49495;0;12141;21762;0;0;674898;79557;109913;635356;76333;104015;43042;68;80
2021-10-25T23:59:59+02:00;5;560710;Salzburg;659447;117.6092811;347755;62.02047404;329735;58.80669152;2429;2310;0;17863;16582;2;23164;21387;0;24840;24327;0;28359;28975;0;31165;32100;0;21817;24876;0;15548;19571;0;4534;7906;0;1944;1820;0;16154;15062;2;21620;19862;0;23452;22887;0;26992;27511;0;29995;30866;0;21203;24219;0;15169;18990;0;4376;7611;0;0;241541;32960;55161;227541;31832;52247;18052;50;63
2021-10-25T23:59:59+02:00;6;1247077;Steiermark;1570559;125.9392163;820464;65.79096559;787592;63.15504175;5812;5424;0;39725;38122;1;54936;49328;4;55568;54031;1;66097;65843;0;75647;75496;0;54407;60011;0;37511;48491;0;11705;22304;0;4920;4595;0;36793;35416;1;52122;46421;4;53221;51378;1;63719;63168;0;73497;73307;0;53238;58678;0;36751;47416;0;11359;21587;0;0;597775;79337;105798;571613;76614;101808;37500;57;57
2021-10-25T23:59:59+02:00;7;760105;Tirol;931903;122.6018774;490905;64.58384039;462348;60.82685945;4173;3887;1;26268;25204;2;35575;32937;2;35222;35114;3;40525;40839;2;43898;43902;1;28597;31841;0;20335;25475;0;6358;10744;0;3530;3198;1;23781;22848;1;33027;30241;1;33164;32870;3;38410;38480;1;41857;41919;1;27669;30757;0;19693;24580;0;6100;10216;0;0;345812;45889;77777;325157;44269;71508;21356;77;58
2021-10-25T23:59:59+02:00;8;399237;Vorarlberg;485696;121.6560589;252805;63.32203679;245245;61.42842472;2075;1968;0;14436;13348;1;17258;15739;0;18818;18544;0;21814;21720;0;23092;21994;0;14858;16048;0;10162;12413;0;3105;5412;0;1789;1703;0;13472;12568;1;16538;15034;0;18281;17912;0;21353;21202;0;22708;21584;0;14658;15807;0;10039;12259;0;3040;5297;0;0;181832;22970;35618;175582;22592;34663;12370;31;38
2021-10-25T23:59:59+02:00;9;1920949;Wien;2352338;122.4570772;1259906;65.58768609;1191950;62.05005963;12123;11501;1;72067;71963;6;113344;109899;5;102323;101525;7;98071;103353;0;96326;98033;0;57655;71383;0;44715;62015;0;11079;22512;0;9756;9473;1;65413;65721;6;106511;102867;4;96772;95407;7;93499;98285;0;92687;94346;0;55983;69298;0;43600;60306;0;10620;21388;0;0;862654;137915;159219;812904;132564;146246;99596;600;640
2021-10-25T23:59:59+02:00;10;8932664;Österreich;11153350;124.860288;5884705;65.8784994;5594123;62.62547209;48318;45554;2;307168;294152;18;412131;380176;21;422004;413588;16;481779;489461;5;528848;528167;2;357331;398674;0;248493;318740;0;73229;134524;0;40471;38067;2;280695;270183;15;386710;354211;17;400026;389634;16;460059;465473;4;509448;508856;2;348057;387940;0;242414;310272;0;70673;129096;0;4086;4215993;531372;810701;3988781;510939;767424;325791;1161;1188
2021-10-26T23:59:59+02:00;0;;KeineZuordnung;149798;;85734;;77662;;242;231;0;4387;3857;2;10942;7741;7;10258;6999;4;8805;9195;1;5772;6361;1;2018;2434;0;1243;1673;0;335;921;0;180;169;0;3813;3349;1;9824;6975;6;9324;6354;4;8116;8383;1;5370;5899;1;1896;2300;0;1173;1590;0;300;851;0;4088;54063;8225;9751;48004;7544;8411;13602;97;101
2021-10-26T23:59:59+02:00;1;296010;Burgenland;409885;138.4699841;215108;72.66916658;207023;69.93783994;2002;1940;0;10358;9698;0;11296;10663;0;13888;14330;0;17830;18196;0;21048;20969;0;16544;17231;0;9208;11210;0;2974;5723;0;1726;1632;0;9585;9082;0;10743;9994;0;13293;13673;0;17221;17547;0;20484;20397;0;16234;16911;0;9038;11005;0;2888;5570;0;0;154384;20500;27962;147749;19796;27199;12263;16;16
2021-10-26T23:59:59+02:00;2;562089;Kärnten;664145;118.1565553;350065;62.27928317;331590;58.99243714;2141;1919;0;15333;14467;0;18373;17103;0;21477;21699;0;28014;29057;1;34537;35318;0;25999;28878;0;17660;22541;0;5373;10175;0;1801;1602;0;13805;13081;0;17038;15746;0;20240;20242;0;26517;27313;1;33048;33794;0;25312;28065;0;17199;21884;0;5194;9708;0;0;253169;32637;46665;238429;30628;44954;17542;84;37
